Country,2005 Sales,2006 Sales,2007 Sales,2008 Sales,2009 Sales,2010 Sales,2011 Sales,2012 Sales,2013 Sales,2014 Sales,2015 Sales,2016 Sales,2017 Sales,2018 Sales,2019 Sales,2020 Sales,2021 Sales,2022 Sales,Total Sales,Average Sales,Growth 2005-2006,Growth 2006-2007,Growth 2007-2008,Growth 2008-2009,Growth 2009-2010,Growth 2010-2011,Growth 2011-2012,Growth 2012-2013,Growth 2013-2014,Growth 2014-2015,Growth 2015-2016,Growth 2016-2017,Growth 2017-2018,Growth 2018-2019,Growth 2019-2020,Growth 2020-2021,Growth 2021-2022
China,3971101.0,5175961.0,6297538.0,6755609.0,10331315.0,13757794.0,14472416.0,15495240.0,17927730.0,19707677.0,21210339.0,24376902.0,24718321.0,23709782.0,21472092.0,20177731.0,21481537.0,23563287.0,294602372.0,16366798.444444444,30.34070400123291,21.668961570614616,7.273810813051068,52.92943981808301,33.16595225293199,5.19430658723339,7.0674032587233535,15.698304769722832,9.928457200102857,7.624754556308185,14.929337055857522,1.4005840446829545,-4.080127448785862,-9.437834561279391,-6.028108486122359,6.461608592165294,9.69088012650119
India,1106863.0,1311373.0,1511812.0,1545414.0,1816878.0,2387197.0,2510313.0,2781919.0,2553979.0,2570736.0,2772270.0,2966637.0,3229109.0,3394756.0,2962115.0,2433464.0,3082279.0,3792356.0,44729470.0,2484970.5555555555,18.47654136058392,15.284667291457122,2.222630856217572,17.565778490423924,31.390054808303034,5.157345623339841,10.819606957379419,-8.193624616676475,0.6561134606040222,7.83954478406184,7.011113636117694,8.847459261109465,5.129805156778542,-12.744391644053357,-17.8470788608815,26.66219841345506,23.037401870499068
Japan,4748482.0,4612318.0,4325508.0,4184266.0,3905310.0,4203181.0,3509036.0,4572333.0,4562282.0,4699591.0,4215889.0,4146459.0,4386378.0,4391160.0,4301091.0,3809977.0,3675698.0,3448297.0,75697256.0,4205403.111111111,-2.8675269275528477,-6.218348344585087,-3.265327448244229,-6.666784568667479,7.627333041423088,-16.514753944690938,30.30168399526252,-0.21982213456456473,3.0096561326108295,-10.292427575080469,-1.646864990990038,5.786117745285797,0.1090193321232233,-2.0511436613559972,-11.418358737352918,-3.5244044780322823,-6.186607278399912
Usa,7659983.0,7761592.0,7562334.0,6769107.0,5400890.0,5635432.0,6089403.0,7241900.0,7585341.0,7749432.0,7516826.0,6872729.0,6080229.0,5303580.0,4719710.0,3401838.0,3350050.0,2858575.0,109558951.0,6086608.388888889,1.3264911945627034,-2.5672310525984874,-10.489182308001736,-20.212666161134695,4.342654636550643,8.055655715480198,18.926272411269217,4.742415664397464,2.163264644265828,-3.001587729268416,-8.568736325677886,-11.531081758061463,-12.773351135294412,-11.008978840707599,-27.92273254077051,-1.5223535041939094,-14.670676557066312
Germany,3319259.0,3467961.0,3148163.0,3090040.0,3807175.0,2916259.0,3173634.0,3082504.0,2952431.0,3036773.0,3206042.0,3351607.0,3441262.0,3435778.0,3607258.0,2917678.0,2622132.0,2651357.0,57227313.0,3179295.1666666665,4.479975801828059,-9.221499319052318,-1.8462512900380317,23.20795200062135,-23.400973162515516,8.825519269721928,-2.871471631574403,-4.21971877408756,2.8566967356730775,5.573976059455218,4.5403335327484795,2.6749854621976863,-0.15936014171545207,4.991009314338703,-19.11645909441465,-10.129493384808057,1.1145510599771484
Uk,2439717.0,2344864.0,2404007.0,2131795.0,1994999.0,2030846.0,1941253.0,2044609.0,2264737.0,2476435.0,2633503.0,2692786.0,2540617.0,2367147.0,2311140.0,1631064.0,1647181.0,1614063.0,39510763.0,2195042.388888889,-3.887868961850903,2.5222358311612103,-11.323261537923974,-6.416939715122702,1.7968430059363438,-4.411609742934718,5.32419009783887,10.766263867565877,9.347575457989162,6.342504446916636,2.2511081248056297,-5.650987490279584,-6.827868978283622,-2.366012757129152,-29.42599755964589,0.9881279949775116,-2.010586571846081
Brazil,1439822.0,1632947.0,2085718.0,2341300.0,2643862.0,2856540.0,2901647.0,3115223.0,3040783.0,2794687.0,2123009.0,1676722.0,1856450.0,2101884.0,2262069.0,1615942.0,1558467.0,1576666.0,39623738.0,2201318.777777778,13.413116343548023,27.727231808503277,12.25390968481837,12.922820655191561,8.044217133874612,1.5790781854971399,7.360509393458267,-2.389556060673666,-8.093178631951046,-24.034104713694234,-21.021437026409213,10.719010068454997,13.220609227288643,7.621019999200717,-28.56354072311676,-3.5567489427219536,1.1677501031462327
France,2118042.0,2045745.0,2109672.0,2091369.0,2302398.0,2251669.0,2204229.0,1898760.0,1790456.0,1795885.0,1917226.0,2015177.0,2110748.0,2173481.0,2214280.0,1650126.0,1659005.0,1532035.0,35880303.0,1993350.1666666667,-3.4133884030628288,3.1248762675700053,-0.8675756231300411,10.090471839259356,-2.2033115039189575,-2.1068816064883427,-13.858315084322001,-5.7039330931766,0.30321884480825,6.756613034798999,5.1089960182054694,4.7425610752802365,2.9720743546837425,1.8771270602319508,-25.47798833029247,0.5380801223664132,-7.653382599811333
South Korea,893159.0,932650.0,1010790.0,1017595.0,1221118.0,1237482.0,1293501.0,1256403.0,1243868.0,1359834.0,1533670.0,1533813.0,1526660.0,1525150.0,1497035.0,1618333.0,1468873.0,1420486.0,23590420.0,1310578.888888889,4.421497180233307,8.37827695276899,0.6732357858704577,20.00039308369243,1.3400834317404215,4.526853723932954,-2.8680302527790857,-0.9976894356349038,9.323014982297156,12.78361917704661,0.009324039721713275,-0.46635411226792317,-0.09890872885907798,-1.8434252368619481,8.10254937259316,-9.235429296689865,-3.294158174328209
Italy,2244108.0,2335462.0,2494115.0,2161359.0,2159465.0,1961580.0,1749740.0,1403010.0,1304648.0,1360578.0,1575737.0,1824968.0,1970497.0,1910025.0,1916949.0,1381496.0,1456674.0,1316919.0,32527330.0,1807073.888888889,4.070837945410827,6.793216930954133,-13.34164623523775,-0.08763005127792282,-9.16361228359802,-10.79945758011399,-19.816086961491422,-7.010783957348843,4.2869800896487025,15.813793843498866,15.816789223074663,7.974331604718548,-3.0688704423300317,0.3625083441316213,-27.932563672794636,5.441781952318356,-9.594116459825603
Spain,1528877.0,1634608.0,1614835.0,1161176.0,952772.0,982015.0,808051.0,699589.0,722689.0,890125.0,1094077.0,1147007.0,1234932.0,1321438.0,1258249.0,851213.0,859476.0,813374.0,19574503.0,1087472.388888889,6.915598834961871,-1.2096478177030823,-28.09321076147099,-17.947666848091934,3.069254763993904,-17.715004353293992,-13.422667628652151,3.30193870972814,23.168472192049418,22.91273697514394,4.837867901436553,7.665602738257046,7.004920108961466,-4.781836151223137,-32.3493998405721,0.9707323548864973,-5.3639659513471
Indonesia,364319.0,222387.0,314769.0,425267.0,359367.0,541475.0,602291.0,780785.0,880032.0,863268.0,755566.0,834920.0,833681.0,878595.0,785539.0,388925.0,659809.0,783563.0,11274558.0,626364.3333333334,-38.958165783283334,41.54109727636957,35.104473439252274,-15.496147126393536,50.674658496745664,11.231543469227573,29.63584048242461,12.71118169534507,-1.904930729791644,-12.47607927086374,10.502590111254344,-0.14839745125281464,5.387432363218066,-10.591455676392423,-50.4894091827395,69.64941826830365,18.75603394315628
