Country,2005 Sales,2006 Sales,2007 Sales,2008 Sales,2009 Sales,2010 Sales,2011 Sales,2012 Sales,2013 Sales,2014 Sales,2015 Sales,2016 Sales,2017 Sales,2018 Sales,2019 Sales,2020 Sales,2021 Sales,2022 Sales,Total Sales,Average Sales
Thailand,178291.0,184544.0,172321.0,226805.0,230037.0,346644.0,360441.0,660214.0,631225.0,369826.0,356063.0,328053.0,665871.0,729709.0,468638.0,343494.0,312200.0,343349.0,6907725.0,383762.5
Netherlands,465196.0,483999.0,504300.0,499980.0,387699.0,482531.0,555812.0,502544.0,416717.0,387569.0,449350.0,382825.0,414306.0,443531.0,446057.0,357996.0,324336.0,313609.0,7818357.0,434353.1666666667
Chile,140000.0,140000.0,180000.0,181523.0,130753.0,212336.0,245116.0,257013.0,286588.0,256160.0,212023.0,228909.0,276785.0,315326.0,260683.0,194128.0,304045.0,313589.0,4134977.0,229720.94444444444
Sweden,274301.0,282766.0,306794.0,253982.0,213408.0,289684.0,304984.0,279899.0,269599.0,303948.0,345108.0,372318.0,379393.0,353729.0,356036.0,292024.0,301006.0,288087.0,5467066.0,303725.8888888889
Vietnam,24888.0,23335.0,40115.0,50877.0,62722.0,57778.0,64564.0,44070.0,59857.0,79813.0,117288.0,159501.0,152799.0,197752.0,229539.0,215908.0,207693.0,283352.0,2071851.0,115102.83333333333
Argentina,290648.0,336296.0,422230.0,452539.0,373231.0,522591.0,673853.0,596397.0,684379.0,432696.0,480952.0,525757.0,663550.0,610943.0,282299.0,223438.0,241619.0,260876.0,8074294.0,448571.8888888889
Canada,847436.0,858826.0,841585.0,872720.0,729023.0,694349.0,681956.0,748530.0,755615.0,760449.0,712322.0,661088.0,639824.0,577711.0,496846.0,318750.0,320605.0,258483.0,11776118.0,654228.7777777778
Israel,130000.0,130000.0,200000.0,170000.0,160000.0,200000.0,210000.0,190000.0,200000.0,228000.0,247300.0,276900.0,271134.0,257465.0,239671.0,202366.0,272646.0,257743.0,3843225.0,213512.5
Philippines,35063.0,38131.0,41107.0,44313.0,46111.0,59623.0,57768.0,64165.0,76822.0,90287.0,116381.0,133188.0,295459.0,252848.0,258555.0,153833.0,180642.0,226403.0,2170699.0,120594.38888888889
Switzerland,266770.0,269421.0,284674.0,288525.0,266018.0,294239.0,318958.0,328139.0,307885.0,301942.0,323783.0,317318.0,311996.0,299135.0,311466.0,236828.0,238481.0,226006.0,5191584.0,288421.3333333333
Austria,307915.0,308594.0,298182.0,293697.0,319403.0,328563.0,356145.0,336010.0,319035.0,303318.0,308555.0,329604.0,353320.0,341068.0,320381.0,257721.0,239803.0,215050.0,5536364.0,307575.77777777775
Colombia,120000.0,160000.0,200000.0,180000.0,170000.0,250000.0,250000.0,240000.0,238800.0,265100.0,236800.0,215700.0,206336.0,220088.0,220581.0,85282.0,200914.0,208160.0,3667761.0,203764.5
Czechia,151699.0,156686.0,174456.0,182554.0,167708.0,169580.0,173595.0,174009.0,164736.0,192314.0,230857.0,259693.0,271595.0,261437.0,249915.0,202971.0,206876.0,192087.0,3582768.0,199042.66666666666
Pakistan,141326.0,160256.0,159457.0,127863.0,94437.0,130038.0,140184.0,136026.0,121122.0,123950.0,182231.0,177222.0,203314.0,217392.0,162689.0,104387.0,198921.0,188318.0,2769133.0,153840.72222222222
Norway,109907.0,109164.0,129195.0,110617.0,98675.0,127754.0,138345.0,137967.0,142151.0,144202.0,150686.0,154603.0,158650.0,147929.0,133964.0,124424.0,176276.0,174329.0,2468838.0,137157.66666666666
Ua Emirates,137000.0,150000.0,135000.0,191544.0,90238.0,136979.0,193268.0,211500.0,206700.0,206700.0,214000.0,166400.0,0.0,0.0,198520.0,129901.0,156780.0,171414.0,2695944.0,149774.66666666666
Portugal,206488.0,194702.0,201816.0,213389.0,161013.0,223464.0,153404.0,95309.0,105921.0,142826.0,178503.0,207345.0,222129.0,228327.0,223799.0,145417.0,149740.0,156304.0,3209896.0,178327.55555555556
Uzbekistan,28500.0,31100.0,31700.0,43000.0,45000.0,43500.0,48000.0,45000.0,45500.0,46000.0,46000.0,43900.0,46000.0,47500.0,147827.0,146250.0,138377.0,153750.0,1176904.0,65383.555555555555
Denmark,148819.0,156936.0,162686.0,150199.0,112454.0,153858.0,170036.0,170763.0,182086.0,189055.0,207717.0,222924.0,221821.0,218566.0,225581.0,198130.0,185324.0,148293.0,3225248.0,179180.44444444444
Morocco,56183.0,75295.0,90941.0,102095.0,93761.0,91119.0,99727.0,117818.0,108177.0,109649.0,120875.0,152324.0,155306.0,163223.0,148354.0,117046.0,154284.0,143265.0,2099442.0,116635.66666666667
Egypt,94538.0,132373.0,179149.0,203729.0,158926.0,192848.0,210300.0,222700.0,220000.0,273500.0,258400.0,214800.0,100533.0,145873.0,127443.0,167792.0,215072.0,133857.0,3251833.0,180657.38888888888
Romania,214967.0,247411.0,312533.0,285506.0,116016.0,94441.0,81709.0,66436.0,57710.0,82809.0,98325.0,115004.0,105083.0,129004.0,161562.0,126351.0,120804.0,127948.0,2543619.0,141312.16666666666
Peru,14231.0,20061.0,28430.0,55312.0,48775.0,73858.0,93055.0,128295.0,139453.0,140363.0,137039.0,133671.0,134623.0,115441.0,115241.0,81496.0,111436.0,118915.0,1689695.0,93871.94444444444
