Country,2005 Sales,2006 Sales,2007 Sales,2008 Sales,2009 Sales,2010 Sales,2011 Sales,2012 Sales,2013 Sales,2014 Sales,2015 Sales,2016 Sales,2017 Sales,2018 Sales,2019 Sales,2020 Sales,2021 Sales,2022 Sales,Total Sales,Average Sales
Palestine,13500.0,15700.0,16400.0,18400.0,13400.0,17400.0,19700.0,21600.0,21100.0,21100.0,21100.0,21100.0,496.0,146.0,109.0,0.0,0.0,0.0,221251.0,12291.722222222223
Panama,10000.0,15000.0,22000.0,30000.0,25000.0,30000.0,35000.0,40000.0,39800.0,43000.0,46700.0,46200.0,44009.0,36401.0,39049.0,0.0,0.0,0.0,502159.0,27897.722222222223
Paraguay,3000.0,5000.0,6000.0,12000.0,7000.0,11000.0,20000.0,20000.0,19900.0,21500.0,18700.0,16000.0,18848.0,25204.0,20599.0,0.0,0.0,0.0,224751.0,12486.166666666666
Puerto Rico,96000.0,85000.0,92000.0,65000.0,65000.0,45000.0,55000.0,55000.0,54700.0,58500.0,49000.0,66500.0,84470.0,73080.0,82607.0,0.0,85486.0,0.0,1112343.0,61796.833333333336
Qatar,61100.0,59900.0,60500.0,60000.0,40000.0,40000.0,45000.0,60000.0,65000.0,71500.0,69200.0,50200.0,41176.0,38816.0,39679.0,0.0,0.0,0.0,802071.0,44559.5
R. Of Congo,200.0,200.0,200.0,500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11700.0,650.0
Senegal,3000.0,3000.0,3000.0,3000.0,4000.0,4000.0,3500.0,4000.0,4000.0,4500.0,3700.0,4400.0,3773.0,3558.0,3320.0,0.0,0.0,0.0,54751.0,3041.722222222222
Serbia,21603.0,25610.0,32772.0,36177.0,30000.0,28951.0,22181.0,22800.0,23000.0,23900.0,21700.0,23300.0,22090.0,24006.0,25514.0,0.0,0.0,0.0,383604.0,21311.333333333332
Singapore,109167.0,116849.0,110814.0,100979.0,73183.0,47273.0,33493.0,32724.0,27955.0,32807.0,61512.0,91096.0,94692.0,81625.0,76476.0,0.0,0.0,0.0,1090645.0,60591.38888888889
Slovenia,59324.0,59578.0,68719.0,71575.0,57967.0,61142.0,60193.0,50091.0,52268.0,53296.0,59450.0,63674.0,62522.0,65115.0,70904.0,0.0,0.0,0.0,915818.0,50878.77777777778
Sri Lanka,2600.0,2800.0,2900.0,3000.0,3000.0,2000.0,7000.0,8000.0,10000.0,13800.0,12500.0,26300.0,11796.0,10981.0,8100.0,0.0,0.0,0.0,124777.0,6932.055555555556
Sudan,2000.0,2000.0,2500.0,3000.0,7000.0,2000.0,2000.0,2000.0,1500.0,1800.0,2200.0,0.0,1450.0,1140.0,996.0,0.0,0.0,0.0,31586.0,1754.7777777777778
Syria,32985.0,45467.0,36000.0,42000.0,46000.0,78147.0,33160.0,36300.0,35500.0,33400.0,33400.0,33400.0,4500.0,6996.0,11428.0,0.0,0.0,0.0,508683.0,28260.166666666668
Tajikistan,5300.0,5700.0,5800.0,6000.0,7000.0,6500.0,7500.0,6000.0,6000.0,6100.0,6100.0,1900.0,2000.0,2200.0,2200.0,0.0,0.0,0.0,76300.0,4238.888888888889
Tanzania,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,3500.0,1000.0,2600.0,2300.0,938.0,998.0,675.0,0.0,0.0,0.0,30011.0,1667.2777777777778
Tr.&Tobago,10000.0,10000.0,5000.0,10000.0,10000.0,10000.0,10000.0,8000.0,8000.0,6300.0,10500.0,13900.0,9840.0,9712.0,10707.0,0.0,0.0,0.0,141959.0,7886.611111111111
Tunisia,25000.0,30000.0,30000.0,33000.0,35000.0,45000.0,35000.0,37000.0,35000.0,37100.0,36100.0,36400.0,45886.0,35343.0,34387.0,0.0,0.0,0.0,530216.0,29456.444444444445
Turkmenistan,3900.0,4200.0,4300.0,4500.0,4500.0,4500.0,5000.0,4500.0,4500.0,4600.0,4600.0,4500.0,4800.0,5100.0,5225.0,0.0,0.0,0.0,68725.0,3818.0555555555557
Uganda,3000.0,3500.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2200.0,2900.0,721.0,770.0,832.0,0.0,0.0,0.0,37923.0,2106.8333333333335
Uruguay,10000.0,10000.0,12000.0,15000.0,30000.0,40000.0,38308.0,38109.0,41785.0,40171.0,39472.0,35924.0,41549.0,34377.0,30063.0,0.0,0.0,0.0,456758.0,25375.444444444445
Venezuela,128601.0,184108.0,267932.0,135882.0,67047.0,68210.0,65339.0,60776.0,43887.0,10400.0,7700.0,3200.0,2500.0,1159.0,3000.0,0.0,0.0,0.0,1049741.0,58318.944444444445
Yemen,4000.0,4700.0,4800.0,5000.0,5000.0,2000.0,2000.0,2000.0,2000.0,2500.0,2300.0,1100.0,828.0,552.0,552.0,0.0,0.0,0.0,39332.0,2185.1111111111113
Zambia,2300.0,2700.0,2800.0,2600.0,3000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1700.0,2300.0,848.0,1118.0,1094.0,0.0,0.0,0.0,30460.0,1692.2222222222222
Zimbabwe,7000.0,6000.0,3000.0,3000.0,3000.0,2000.0,3000.0,3000.0,3000.0,4100.0,1500.0,1300.0,1094.0,906.0,532.0,0.0,0.0,0.0,42432.0,2357.3333333333335
